name,price,description,sustainability_features,product_features,product_affordances,rating_product,product_page_url,product_id,review_url,author,date,rating_customer,content,BERT_sentiment,GPT_sentiment
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Gy.O.,"Reviewed in the United Kingdom on February 5, 2018",4,"A bit overpriced for what they are, but every shop seemed to be out of stock on the island. Coffee must be had, thus they were ordered.Good quality.",1,1
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,NewBalace lover,"Reviewed in the United States on September 26, 2022",5,Do not leak  !!! Recommend !,2,2
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,incrediblesolv,"Reviewed in the United Kingdom on September 1, 2024",5,Brilliant for use with a single cup filter paper holder.,2,2
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Ron.Ardell,"Reviewed in the United Kingdom on January 11, 2020",5,"Unlike the other filter type, this one works flawlessly. I can make a full pot of coffee without any danger of an overflow.  Don't waste your money on anything else.",2,2
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Renric05,"Reviewed in the United Kingdom on November 4, 2020",5,Double pack offer is good and filters work fine in my machine.,1,1
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Anru,"Reviewed in the United Kingdom on February 16, 2021",5,They work as always. Nothing special.,0,0
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Amazon Customer,"Reviewed in the United Kingdom on March 25, 2020",5,To make coffee the best way.,2,1
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Kimmie,"Reviewed in the United Kingdom on February 27, 2020",5,Excellent highly recommend,2,2
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Amazon Customer,"Reviewed in the United Kingdom on December 19, 2019",5,Ok,0,1
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""Original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Coffee"", ""Genuine"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-2&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,mrmelody,"Reviewed in the United Kingdom on October 29, 2018",5,Do their usual good job,1,1
