name,price,description,sustainability_features,product_features,product_affordances,rating_product,product_page_url,product_id,review_url,author,date,rating_customer,content,BERT_sentiment,GPT_sentiment,GPT_ABSA
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""PIR occupancy sensor"", ""unit"", ""Dimmer switch"", ""illumination levels"", ""Smart dimming memory"", ""lighting level"", ""internal counterbalance"", ""form""]","Product Affordances: [""Automatically turn off"", ""Automatically turn on"", ""Adjust illumination levels"", ""Save lighting level"", ""Fold into compact position"", ""Effortless positioning"", ""Compact nesting""]",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Kindle Customer,"Reviewed in the United States on August 4, 2024",3.0,"As usual Humanscale pricing is exorbitant, hence 4 stars!",1,1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": -1, ""User Experience: Quality/Performance"": 0, ""User Experience: Safety"": 0}"
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""PIR occupancy sensor"", ""unit"", ""Dimmer switch"", ""illumination levels"", ""Smart dimming memory"", ""lighting level"", ""internal counterbalance"", ""form""]","Product Affordances: [""Automatically turn off"", ""Automatically turn on"", ""Adjust illumination levels"", ""Save lighting level"", ""Fold into compact position"", ""Effortless positioning"", ""Compact nesting""]",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Mary,"Reviewed in the United States on December 7, 2016",3.0,Love this light.  Best one on the market,2,2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""PIR occupancy sensor"", ""unit"", ""Dimmer switch"", ""illumination levels"", ""Smart dimming memory"", ""lighting level"", ""internal counterbalance"", ""form""]","Product Affordances: [""Automatically turn off"", ""Automatically turn on"", ""Adjust illumination levels"", ""Save lighting level"", ""Fold into compact position"", ""Effortless positioning"", ""Compact nesting""]",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,GM,"Reviewed in the United States on October 17, 2022",3.0,"I have been using this lamp regularly for 3~4 years now and have been more than pleased with it overall.Recently however I noticed the finish on the on/off button has started to peel/rub off, leaving a sticky surface underneath which is ugly and unpleasant to touch.  But for this it would be a great lamp.",1,1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""PIR occupancy sensor"", ""unit"", ""Dimmer switch"", ""illumination levels"", ""Smart dimming memory"", ""lighting level"", ""internal counterbalance"", ""form""]","Product Affordances: [""Automatically turn off"", ""Automatically turn on"", ""Adjust illumination levels"", ""Save lighting level"", ""Fold into compact position"", ""Effortless positioning"", ""Compact nesting""]",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Kindle Customer,"Reviewed in the United States on December 14, 2014",3.0,Really like the auto on and off. T h e base is sturdy and can hold smart devices small desk  things.,2,1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""PIR occupancy sensor"", ""unit"", ""Dimmer switch"", ""illumination levels"", ""Smart dimming memory"", ""lighting level"", ""internal counterbalance"", ""form""]","Product Affordances: [""Automatically turn off"", ""Automatically turn on"", ""Adjust illumination levels"", ""Save lighting level"", ""Fold into compact position"", ""Effortless positioning"", ""Compact nesting""]",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Barbara,"Reviewed in the United States on July 14, 2017",3.0,An amazing lamp. Good light and attractive,2,2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""PIR occupancy sensor"", ""unit"", ""Dimmer switch"", ""illumination levels"", ""Smart dimming memory"", ""lighting level"", ""internal counterbalance"", ""form""]","Product Affordances: [""Automatically turn off"", ""Automatically turn on"", ""Adjust illumination levels"", ""Save lighting level"", ""Fold into compact position"", ""Effortless positioning"", ""Compact nesting""]",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,P.B.N.,"Reviewed in the United States on March 7, 2019",3.0,"I have used four different LED lamps from Humanscale (Horizon, Element Vision, Element DIsc and Element 790) and they were all excellent. Unlike the cheaper LED lamps, these only have a single light source and do not cast multiple shadows. The Vision's color temperature is warm at 3000K, being easier on your eyes. It is also dimmable, and comes with a proximity sensor. It's a bit pricey but it'll last you a long time.",1,2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": -1, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 1}"
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""PIR occupancy sensor"", ""unit"", ""Dimmer switch"", ""illumination levels"", ""Smart dimming memory"", ""lighting level"", ""internal counterbalance"", ""form""]","Product Affordances: [""Automatically turn off"", ""Automatically turn on"", ""Adjust illumination levels"", ""Save lighting level"", ""Fold into compact position"", ""Effortless positioning"", ""Compact nesting""]",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Vincent W. Deluca Jr.,"Reviewed in the United States on November 3, 2018",3.0,"So far the Element 790 has been outstanding. The color is a bit on the warm side and dims down to a comfortable level when working late at night. It has a sleek modern design and helps create a clean desk aesthetic. I love the compact head, you can put the light where you need it and quickly adjust the power level.",1,2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 1, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
Humanscale Horizon LED Task Light: Jet Black (semi-Matte),500.0,"Touch dimming feature allows the user to adjust brightness level exactly to their preference
Buttonless interface prevents buildup of dirt and liquids from entering the fixture
Even plane LED illumination is ultra-wide and glare-free, casting a single shadow, and removing visual clutter
Achieves Energy Star 2.0 certification
Lifespan of 50,000 hours (or approximately 10 years)","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""Touch dimming feature"", ""Brightness level"", ""Buttonless interface"", ""Even plane LED illumination"", ""Ultra-wide"", ""Glare-free"", ""Single shadow"", ""Visual clutter"", ""Energy Star 2.0 certification"", ""Lifespan"", ""50,000 hours"", ""10 years""]","Product Affordances: [""Adjust brightness"", ""Prevent buildup"", ""Enter fixture"", ""Illuminate"", ""Glare-free"", ""Cast shadow"", ""Remove clutter"", ""Achieve certification""]",3.9,https://www.amazon.com/Humanscale-Horizon-LED-Task-Light/dp/B00MG4FPSU/ref=sr_1_11?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-11&srs=24000582011,B00MG4FPSU,https://www.amazon.com/product-reviews/B00MG4FPSU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,D. Howland,"Reviewed in the United States on January 7, 2019",5.0,"This is the ""just right"" task lamp and is perfect for home or office.Highly recommended.",2,2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
Humanscale Horizon LED Task Light: Jet Black (semi-Matte),500.0,"Touch dimming feature allows the user to adjust brightness level exactly to their preference
Buttonless interface prevents buildup of dirt and liquids from entering the fixture
Even plane LED illumination is ultra-wide and glare-free, casting a single shadow, and removing visual clutter
Achieves Energy Star 2.0 certification
Lifespan of 50,000 hours (or approximately 10 years)","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""Touch dimming feature"", ""Brightness level"", ""Buttonless interface"", ""Even plane LED illumination"", ""Ultra-wide"", ""Glare-free"", ""Single shadow"", ""Visual clutter"", ""Energy Star 2.0 certification"", ""Lifespan"", ""50,000 hours"", ""10 years""]","Product Affordances: [""Adjust brightness"", ""Prevent buildup"", ""Enter fixture"", ""Illuminate"", ""Glare-free"", ""Cast shadow"", ""Remove clutter"", ""Achieve certification""]",3.9,https://www.amazon.com/Humanscale-Horizon-LED-Task-Light/dp/B00MG4FPSU/ref=sr_1_11?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-11&srs=24000582011,B00MG4FPSU,https://www.amazon.com/product-reviews/B00MG4FPSU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Katy M.,"Reviewed in the United States on December 30, 2018",5.0,Liked so much - bought another,2,2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
Humanscale NTLGG Cable Management,139.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","The product description provided is ""nan"", which does not contain any describable features or attributes. Therefore: 

Product Features: []","The product description ""nan"" does not provide any information to extract affordances from. 

Product Affordances: []",4.3,https://www.amazon.com/Humanscale-NTLGG-HumanScale-Cable-Management/dp/B012X8AGSW/ref=sr_1_1?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-1&srs=24000582011,B012X8AGSW,,,,,,-1,0,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 0, ""User Experience: Safety"": 0}"
