name,price,description,sustainability_features,rating_product,product_page_url,product_id,review_url,author,date,rating_customer,content,BERT_sentiment,GPT_sentiment
"Element 790 Table Lamp with Dimmer Mount: Direct, Finish: Black",342.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.1,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00E3GKAS4/ref=sr_1_15?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-15&srs=24000582011,B00E3GKAS4,,,,,,-1,0
HON10726CC - HON 10700 Series Prestigious Laminate Furniture,661.23,"Sold as 1 Each.
Not freestanding.
Creates ""U"" workstation with Bridge and Credenza; creates ""L"" workstation with Return.
A modular management solution that combines stylish profiles and elegant accents with top-grade fit and finish.
Abrasion- and stain-resistant high-pressure laminate with elegant hardwood trim.","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2,https://www.amazon.com/HON10726CC-10700-Prestigious-Laminate-Furniture/dp/B00E7LK52Q/ref=sr_1_14?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-14&srs=24000582011,B00E7LK52Q,,,,,,-1,0
"Element 790 Table Lamp with Dimmer Mount: No Mount, Finish: Silver",287.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.4,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00FNA9PN0/ref=sr_1_4?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-4&srs=24000582011,B00FNA9PN0,,,,,,-1,0
"Element 790 Table Lamp with Dimmer Mount: Clamp, Finish: Silver",229.0,"Element 790 Table Lamp with Dimmer Mount: Clamp, Finish: Silver","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.3,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00FNAA35O/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-6&srs=24000582011,B00FNAA35O,,,,,,-1,0
"Element 790 Table Lamp with Dimmer Mount: Wall, Finish: White",287.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.4,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00FNAARAA/ref=sr_1_13?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-13&srs=24000582011,B00FNAARAA,,,,,,-1,0
"Element 790 Table Lamp with Dimmer Mount: Access Rail, Finish: Silver",287.0,Element 790 Table Lamp Finish: Silver,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.4,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00FNAC01O/ref=sr_1_12?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-12&srs=24000582011,B00FNAC01O,,,,,,-1,0
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Kindle Customer,"Reviewed in the United States on August 4, 2024",3.0,"As usual Humanscale pricing is exorbitant, hence 4 stars!",1,1
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Kindle Customer,"Reviewed in the United States on August 4, 2024",3.0,"As usual Humanscale pricing is exorbitant, hence 4 stars!",1,1
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Kindle Customer,"Reviewed in the United States on August 4, 2024",3.0,"As usual Humanscale pricing is exorbitant, hence 4 stars!",1,1
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.3,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,B00KEN8ZTQ,https://www.amazon.com/product-reviews/B00KEN8ZTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Kindle Customer,"Reviewed in the United States on August 4, 2024",3.0,"As usual Humanscale pricing is exorbitant, hence 4 stars!",1,1
