name,price,description,sustainability_features,rating,number_of_reviews,product_page_url
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.6 out of 5 stars,"1,317 ratings",https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011
Classic 32oz | Original Award-Winning Solar Lantern|Indoor and Outdoor | With USB Charging l Glass and Stainless Steel | Decorate Inside | Fair Trade from South Africa,49.99,"#1 Bestseller from Amazon Germany: SONNENGLAS is the Original and only Solar Lantern invented and made in South Africa in a Fair Trade Project. Sustainable and fully powered by the sun. RED DOT Design Award Winner | Award for Best Design for Social Good
24 hours of bright light | Genius Magnetic On/Off Switch | Intelligent Day/Night Sensor | LEDs give warm, indirect, magical light (3500K)
Micro-USB Charging Option for year-round use | Indoor and Outdoor usage | Use as a reading light on your bedside table, garden light, for barbecues, as hurricane light, during emergencies or simply as beautiful decorative indoor and outdoor lantern
SONNENGLAS is the world's only Fair Trade certified solar lantern. Handmade South Africa it brightens lives around the world and in communities in Africa without access to electricities
Brighten your life: Decorate your SONNENGLAS to your heart's desire and give light in its most magical and also practical form","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.5 out of 5 stars,"12,022 ratings",https://www.amazon.com/SONNENGLAS-Original-Solar-powered-Lantern-stainless/dp/B00BDPTNB8/ref=sr_1_2?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-2&srs=24229290011
Maul MAULpro Eco Staple Dispenser | Sustainable Desk Organiser for Storage of Paper Clips | Organiser for the Office and Workplace | Includes 15 Clips | Black,17.23,"Always at hand: the Maul staple dispenser MAULpro Eco convinces as a practical organiser for paper clips; 15 clips are already included.
With strong central magnet, the large capacity desk organiser ensures that paper clips always stay in place, so nothing is lost.
The office organiser is made of shatter-proof plastic. With a matte surface, the office accessories impress with a modern design and look good on any desk.
Made in Germany - Socially compatible in Germany and made from 85% recycled PS plastic (post consumer material), the organiser also ensures more sustainability.
Box contents: 1 x Maul clip dispenser Maul pro + 15 x paper clips
Every Maul product has the experience of a German family business with 110 years of history. We combine sustainability and new technologies with functionality and craftsmanship.","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.7 out of 5 stars,17 ratings,https://www.amazon.com/MAUL-MAULpro-Eco-Clip-Dispenser/dp/B097C2W1FC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-3&srs=24229290011&th=1
"Curver Infinity Set of 4 Baskets with Recycled Lid (2 Units Size M 11L and 2 Units Size L 17L), Grey",88.37,"Model Name: Infinity
Colour: grey
Brand: Curver","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.6 out of 5 stars,48 ratings,https://www.amazon.com/Curver-Infinity-Baskets-Recycled-Units/dp/B07Z9S9YH9/ref=sr_1_4?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-4&srs=24229290011&th=1
Melitta filter bags Natural Brown 1 x 4/40,9.90,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.3 out of 5 stars,77 ratings,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011
"Durable Waste Basket ECO | Blue Angel Certified | Pack of 1 in Grey | 16 litres,Gray,776010",20.46,"AREAS OF APPLICATION. Office waste paper bin ECO, made of recycled plastics and Blue Angel certified. Perfect for easy waste management in the office, schools or warehouses, etc.
ECO-FRIENDLY:Environmentally friendly in accordance with ISO 14021: 100 % recyclable, min. 80 % recycled content
LARGE CAPACITY Waste bin round with filling volume of 16 litres and dimensions: 330 x 315 mm (H x Ø)
EASY TO HANDLE: Waste bin grey with handles for easy emptying and transport
WIDE RANGE AVAILABLE: Can be combined with the entire DURABLE ECO desk series, e.g. note box, magazine rack, etc.","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.6 out of 5 stars,30 ratings,https://www.amazon.com/Durable-Basket-Certified-litres-776010/dp/B09CV925HF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-6&srs=24229290011
"Leitz Waste Paper Bin, 15L Capacity, 100% Recyclable, Blue Angel Certfied, Recycle Range, Black, 53280095",19.49,"A modern and contemporary waste paper bin with 15L capacity, can be used with or without bin liners making it perfect for the home, office and school environment
Made in Europe from 98 Percent recyclable materials the bin is carbon neutral, has no packaging waste, 100 Percent recyclable and Blue Angel certified, allowing you to improve both your own environment and the planet
The Recycle range Waste Paper Bin is eye-catching, with its rigid rim for secure attachment of waste bags, smooth, easy to clean surface and strong and durable glossy finish
This robust waste paper bin perfectly complements the other eco-friendly products within the range, and is premium quality which is made to last
Contents: 1 x Leitz Recycle Waste Paper Bin, Dimensions (W x H x D): 290 x 324 x 290, Black, 53280095","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.4 out of 5 stars,54 ratings,https://www.amazon.com/Leitz-Capacity-Recyclable-Certfied-53280095/dp/B08KKC5LYH/ref=sr_1_7?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-7&srs=24229290011
Melitta Coffee Filters 100/40 Natural Brown (Pack of 40 Filters),14.00,"Aromatic and full-bodied coffee taste: original filter bags natural brown for a balanced and aromatic taste experience of your filter coffee, size 100
For a full aroma of your filter coffee: optimal enjoyment development using Aromapor paper, permeability of the finest flavours thanks to micro-fine pores
Particularly tear-resistant thanks to extra-stable double stitching, perfect fit
Environmentally friendly coffee preparation: production of filter bags according to FSC certification, compostable
Box contents: 1 Melitta filter bags 100, natural brown, pack of 40","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.4 out of 5 stars,"1,089 ratings",https://www.amazon.com/Melitta-Coffee-Filters-Natural-Brown/dp/B005HBUZHK/ref=sr_1_8?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-8&srs=24229290011
Basket Recycled Storage Box 10-6 Litres - Taupe Colour,42.67,"A sustainable solution : made from 100% recycled plastic
Lightweight, durable and suited for both dry and wet surfaces
Small size: the basket fits perfectly in any room of the house, and the small size is great for hiding away all the small items
It comes in white and taupe colour
Outer measurements : 37 x 28 x 10 cm","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.4 out of 5 stars,21 ratings,https://www.amazon.com/SmartStore-Basket-Recycled-Storage-Litres/dp/B07TLXZBLR/ref=sr_1_9?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-9&srs=24229290011&th=1
"Recycled Plastic Storage Basket Labels - Set of 2 - Sustainable White Tag - Fits Recycled Baskets: 6L, 10L, 13L - L6.7 x W3.5 x H0.9 cm",13.35,"SMARTSTORE RECYCLED PLASTIC STORAGE BASKET TAGS - Set of 2 - The SmartStore Basket tags neatly helps organise the contents in the baskets. Fits SmartStore Recycled Baskets: 6L, 10L, 13L - Made of recycled plastic. Suitable for whiteboard felt pens. Dimensions: L6.7 x W3.5 x H0.9 cm
10 YEAR GUARANTEE - As part of SmartStore's promise we offer a 10-year manufacturer's guarantee on all of our storage baskets tags, as we believe they are built to last.
NESTABLE & STACKABLE - Unlike other brands, SmartStore baskets are nestable without the lid, saving space inside the home and stackable with their lids, in bamboo or plastic, availble separately, so you can efficiently make the most of your storage space. Mix, match and stack with the lids.
HELP GIVE RECYCLED PLASTIC A NEW LIFE. Recycled plastic has a reduced carbon footprint and this is why the Basket Tags are awarded ""Climate Pledge Friendly"". We love it when sustainable is practical and beautiful.
SAFE & TESTED - All SmartStore recycled storage basket lids are safe and tested. Made from recycled Polypropylene material which has high shock, impact and wear resistance and makes them so easy to clean. SmartStore Recycled storage basket lids can withstand temperatures from -40c to +100c, so they can be stored where you see fit.","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.5 out of 5 stars,2 ratings,https://www.amazon.com/SmartStore-Label-Storage-Basket-White/dp/B07TKYJ1N4/ref=sr_1_10?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-10&srs=24229290011
